Name,Field(s),Date,Notes,Cleaned_Notes
Nancy Adams,,1926-2007,"Botanist and botanical artist, and museum curator.","Botanist and botanical artist, and museum curator."
Mary Aldis,,1840-1897,Scientific author and social reform campaigner,Scientific author and social reform campaigner
Catherine Alexander,,1862-1928,"Botanist, and the first known woman to publish a paper in the Royal Society Te ApAArangi's Transactions in 1886.","Botanist, and the first known woman to publish a paper in the Royal Society Te ApAArangi's Transactions in 1886."
Elizabeth Alexander,,1908-1958,"Geologist, academic, and physicist, whose wartime work with radar and radio led to early developments in radio astronomy.","Geologist, academic, and physicist, whose wartime work with radar and radio led to early developments in radio astronomy."
Jan Anderson,,1932-2015,Organic chemist who worked on photosynthesis.,Organic chemist who worked on photosynthesis.
Innes Asher,,2000-,Professor of paediatrics,Professor of paediatrics
Rosemary Askin,,1949-,"Geologist specialising in Antarctic palynology and the first New Zealand woman to undertake her own research programme in Antarctica, in 1970.","Geologist specialising in Antarctic palynology and the first New Zealand woman to undertake her own research programme in Antarctica, in 1970."
Paddy Bassett,,1918-2019,"Agricultural scientist, the first woman graduate from Massey Agricultural College, and also one of the first two women students accepted into Canterbury Agricultural College (now Lincoln University).","Agricultural scientist, the first woman graduate from Massey Agricultural College, and also one of the first two women students accepted into Canterbury Agricultural College (now Lincoln University)."
Betty Batham,,1917-1974,"Marine biologist and university lecturer, who directed the Portobello Marine Biological Station at the University of Otago for more than 23 years.","Marine biologist and university lecturer, who directed the Portobello Marine Biological Station at the University of Otago for more than 23 years."
Muriel Bell,,1898-1974,Nutritionist and medical researcher,Nutritionist and medical researcher
Gertrude Helen Benson,,1886-1964,Professor of home science.,Professor of home science.
Patricia Bergquist,,1933-2009,"Zoologist specialising in sponges, anatomist and biologist","Zoologist specialising in sponges, anatomist and biologist"
Betty Bernardelli,,1919-1905,Physiological psychologist who was the commanding officer at the WAAF training school for psychology instructors.,Physiological psychologist who was the commanding officer at the WAAF training school for psychology instructors.
