Name,Field(s),Dates,Notes,Cleaned_Notes
Rediet Abebe,,1991-,"computer scientist
First female computer scientist to be appointed to theAA Harvard Society of Fellows","computer scientist
First female computer scientist to be appointed to theAA Harvard Society of Fellows"
Lilia Ann Abron,,1945-,"chemical engineering, environmental engineering
First African-American woman to earn a PhD in chemical engineering","chemical engineering, environmental engineering
First African-American woman to earn a PhD in chemical engineering"
Claudia Alexander,,1959-2015,"geophysics, planetary science
Project manager for NASA'sAA GalileoAA missionAA andAA RosettaAA mission","geophysics, planetary science
Project manager for NASA'sAA GalileoAA missionAA andAA RosettaAA mission"
Gloria Long Anderson,,1938-,"chemistry
Pioneer ofAA nuclear magnetic resonance spectroscopy, known for work withAA fluorine-19AA and solid rocket propellants","chemistry
Pioneer ofAA nuclear magnetic resonance spectroscopy, known for work withAA fluorine-19AA and solid rocket propellants"
Treena Livingston Arinzeh,,1970-,"biomedical engineering
Researcher of adult stem-cell therapy","biomedical engineering
Researcher of adult stem-cell therapy"
Estella Atekwana,,1961-,"Biogeophysics; tectonphysics
Dean of the College of Earth, Ocean and Environment at theAA University of Delaware","Biogeophysics; tectonphysics
Dean of the College of Earth, Ocean and Environment at theAA University of Delaware"
Balanda Atis,,,"cosmetic science
Cosmetic chemist atAA L'OrAA(c)alAA USA who expanded range of cosmetics available for people of color","cosmetic science
Cosmetic chemist atAA L'OrAA(c)alAA USA who expanded range of cosmetics available for people of color"
Donna Auguste,,1958-,"businesswoman, computer scientist
Senior engineering manager for theAA Newton personal digital assistantAA (PDA)","businesswoman, computer scientist
Senior engineering manager for theAA Newton personal digital assistantAA (PDA)"
Wanda Austin,,1954-,"aerospace engineering
Former president and CEO ofAA The Aerospace Corporation","aerospace engineering
Former president and CEO ofAA The Aerospace Corporation"
June Bacon-Bercey,,1932-,"meteorology
Believed to be the first African-American woman to gain a degree in meteorology and known to be the first African-American woman to be a televised meteorologist.","meteorology
Believed to be the first African-American woman to gain a degree in meteorology and known to be the first African-American woman to be a televised meteorologist."
Erica Baker,,2006-,"software engineer
Engineer and engineering manager in the San Francisco Bay Area, known for her outspoken support of diversity and inclusion.","software engineer
Engineer and engineering manager in the San Francisco Bay Area, known for her outspoken support of diversity and inclusion."
Alice Augusta Ball,,1892-1916,"chemistry
First woman and African-American to receive a master's degree from the University of Hawaii","chemistry
First woman and African-American to receive a master's degree from the University of Hawaii"
Patricia Bath,,1942-2019,"ophthalmologist, inventor
Pioneered laser surgery to remove cataracts","ophthalmologist, inventor
Pioneered laser surgery to remove cataracts"
Regina Benjamin,,1956-,"physician
18thAA Surgeon General of the United States","physician
18thAA Surgeon General of the United States"
