Name,Field(s),Date,Notes,Cleaned_Notes
Anvita Abbi,,,"Indian linguist, scholar","Indian linguist, scholar"
Barbara Abbott,,,American linguist,American linguist
Evangelia Adamou,,,Contact linguist and specialist in endangered languages,Contact linguist and specialist in endangered languages
Alexandra Aikhenvald,,,Linguist,Linguist
Judith Aissen,,,Linguist and Mayan specialist,Linguist and Mayan specialist
Jean Aitchison,,,Linguist and writer,Linguist and writer
Artemis Alexiadou,,,Greek linguist and syntactician,Greek linguist and syntactician
Shanley Allen,,,Canadian linguist and acquisitionist,Canadian linguist and acquisitionist
Elena Anagnostopoulou,,,Greek linguist and syntactician,Greek linguist and syntactician
Jolanta Antas,,,Polish linguist,Polish linguist
Diana Archangeli,,,American linguist,American linguist
Mira Ariel,,,"Israeli linguist, developer of Accessibility Theory","Israeli linguist, developer of Accessibility Theory"
Lilias Armstrong,,1882-1937,British phonetician,British phonetician
Syeda Ummehani Ashraf,,,Linguist,Linguist
Beryl Atkins,,,Professional lexicographer,Professional lexicographer
Tista Bagchi,,,Indian linguist and ethicist,Indian linguist and ethicist
Jessie Little Doe Baird,,,Indigenous linguist and revitalization specialist,Indigenous linguist and revitalization specialist
Ann Bannon,,1932,Lesbian pulp fiction author and linguist,Lesbian pulp fiction author and linguist
Marlyse Baptista,,,Cape Verdean contact linguist,Cape Verdean contact linguist
Katherine Barber,,,British-born Canadian lexicographer,British-born Canadian lexicographer
Kathleen Bardovi-Harlig,,,American applied linguist,American applied linguist
Naomi Baron,,,American linguist and digital communication specialist,American linguist and digital communication specialist
Renate Bartsch,,,German linguist and philosopher of language,German linguist and philosopher of language
Carla Bazzanella,,,Italian pragmaticist and sociolinguist,Italian pragmaticist and sociolinguist
Sigrid Beck,,,German semanticist,German semanticist
Mary Beckman,,,"American linguist, prosodist and acquisitionist","American linguist, prosodist and acquisitionist"
Patrice Beddor,,,American phonetician and phonologist,American phonetician and phonologist
Marie-JosÃ© BÃ©guelin,,,Swiss linguist,Swiss linguist
Heike Behrens,,,German psycholinguist,German psycholinguist
Jeannie Bell,,,Australian specialist in Aboriginal languages,Australian specialist in Aboriginal languages
Ursula Bellugi,,,German-American linguist and cognitive neuroscientist,German-American linguist and cognitive neuroscientist
Andrea Berez-Kroeker,,,American documentary linguist,American documentary linguist
Elena Berezovich,,,Russian onomastician and ethnolinguist,Russian onomastician and ethnolinguist
Helma van den Berg,,,Dutch linguist and Caucasian specialist,Dutch linguist and Caucasian specialist
Brita Bergman,,,Swedish signed-language linguist,Swedish signed-language linguist
Jean Berko Gleason,,,American psycholinguist and Wug Test creator,American psycholinguist and Wug Test creator
Ruth A. Berman,,,South African-Israeli linguist and Hebraicist,South African-Israeli linguist and Hebraicist
EloÃ­na Miyares BermÃºdez,,,Cuban linguist and lexicographer,Cuban linguist and lexicographer
Denise Bernot,,,French linguist and Burmese specialist,French linguist and Burmese specialist
Maria Luisa Altieri Biagi,,,Italian historical linguist,Italian historical linguist
Judith Bishop,,,"Australian poet, linguist and translator","Australian poet, linguist and translator"
RenÃ©e A. Blake,,,Caribbean American sociolinguist,Caribbean American sociolinguist
Joyce Blau,,,Egyptian-French linguist and Kurdish specialist,Egyptian-French linguist and Kurdish specialist
Dorothea Bleek,,,South African-born German anthropologist and philologist,South African-born German anthropologist and philologist
Juliette Blevins,,,"American phonetician, phonologist and historical linguist","American phonetician, phonologist and historical linguist"
Sheila Blumstein,,,American neurolinguist,American neurolinguist
Hagit Borer,,,Israeli-born American theoretical linguist and syntactician,Israeli-born American theoretical linguist and syntactician
Melissa Bowerman,,,Max-Planck-based American acquisitionist/psycholinguist,Max-Planck-based American acquisitionist/psycholinguist
Claire Bowern,,,US-based Australian historical linguist,US-based Australian historical linguist
Mary Boyce,,,British linguist and specialist in Iranian languages and Zoroastrianism,British linguist and specialist in Iranian languages and Zoroastrianism
Diane Brentari,,,American linguist and sign-language specialist,American linguist and sign-language specialist
Joan Bresnan,,,American syntactician and founder of Lexical-Functional Grammar,American syntactician and founder of Lexical-Functional Grammar
Jean Briggs,,,"American-born anthropologist, ethnographer and linguist","American-born anthropologist, ethnographer and linguist"
Isabelle Bril,,,French linguist and typologist specialising in Austronesian languages,French linguist and typologist specialising in Austronesian languages
Rachel Bromwich,,,British philologist and Celtic specialist,British philologist and Celtic specialist
Ellen Broselow,,,American experimental linguist,American experimental linguist
Catherine Browman,,,American linguist and speech scientist,American linguist and speech scientist
Penelope Brown,,,American anthropological linguist,American anthropological linguist
Til Brugman,,,"Dutch author, poet and linguist","Dutch author, poet and linguist"
Ãva Buchi,,,"Swiss linguist, lexicographer and Romance specialist","Swiss linguist, lexicographer and Romance specialist"
Mary Bucholtz,,,American sociolinguist and anthropological linguist,American sociolinguist and anthropological linguist
Tove Bull,,,"Norwegian linguist, first female rector of the University of TromsÃ¸","Norwegian linguist, first female rector of the University of TromsA "
Svetlana Burlak,,,Russian linguist and Indo-Europeanist,Russian linguist and Indo-Europeanist
Kate Burridge,,,Australian linguist and Germanicist,Australian linguist and Germanicist
Miriam Butt,,,German computational linguist and syntactician,German computational linguist and syntactician
Joan Bybee,,,"American linguist, pioneer of the usage-based approach","American linguist, pioneer of the usage-based approach"
Rena Torres Cacoullos,,,,
Halet Ãambel,,,Archaeologist and decipherer of Anatolian hieroglyphs,Archaeologist and decipherer of Anatolian hieroglyphs
Deborah Cameron,Linguist,,,
Una Canger,Linguist,,,
Justine Cassell,Linguist,,,
Nina Catach,Linguist,,,
Lee Cataldi,Linguist,,,
MarÃ­a Catrileo,Linguist,,,
Anne H. Charity Hudley,Linguist,,,
Carole Chaski,Linguist,,,
Yiya Chen,,,Phonetician and prosody specialist,Phonetician and prosody specialist
Lisa Cheng,Linguist,,,
Jenny Cheshire,Linguist,,,
Marion Frances Chevalier,Linguist,,,
Soonja Choi,Linguist,,,
Carol Chomsky,Linguist,,,
Lina Choueiri,Linguist,,,
Ann Chowning,Linguist,,,
Kirsti Koch Christensen,Linguist,,,
EilÃ©an NÃ­ ChuilleanÃ¡in,Linguist,,,
Sandra Chung,Linguist,,,
Victoria Cirlot,Linguist,,,
Dymphna Clark,Linguist,,,
Eve V. Clark,Linguist,,,
Jennifer S. Cole,Linguist,,,
Nancy Condee,Linguist,,,
Ellen Contini-Morava,Linguist,,,
Alexandra Cornilescu,,,Syntactician of English and Romanian,Syntactician of English and Romanian
Elizabeth Couper-Kuhlen,Linguist,,,
Elizabeth Cowper,Linguist,,,
Martha Crago,Linguist,,,
Megan Crowhurst,Linguist,,,
Anna Morpurgo Davies,Linguist,,,
Jenny L. Davis,Linguist,,,
Jean D'Costa,Linguist,,,
Yeda Pessoa de Castro,Linguist,,,
Maria Odulio de Guzman,Linguist,,,
Ella Cara Deloria,Linguist,,,
Susie Dent,Linguist,,,
MarÃ­a Rosa Lida de Malkiel,Linguist,,,
GÃ¼zin Dino,Linguist,,,
Nina Dobrushina,,,Russian linguist and Caucasologist,Russian linguist and Caucasologist
Florence Dolphyne,,,Ghanaian linguist,Ghanaian linguist
Nancy Dorian,Linguist,,,
Edit Doron,Linguist,,,
Helen Doron,Linguist,,,
Laura J. Downing,Linguist,,,
Rajna DragiÄeviÄ,Linguist,,,
Dulce Almada Duarte,Linguist,,,
Christa DÃ¼rscheid,Linguist,,,
Arienne Dwyer,Linguist,,,
Penelope Eckert,Linguist,,,
Susan Ehrlich,Linguist,,,
Vilma Sindona Eichholz,Linguist,,,
Katalin Ã. Kiss,Linguist,,,
Suzette Haden Elgin,Linguist,,,
Tatyana Elizarenkova,Linguist,,,
Karen Emmorey,Linguist,,,
Elisabeth Engberg-Pedersen,Linguist,,,
Elisabet Engdahl,Linguist,,,
Nora England,Linguist,,,
Zeynep Ergun,Linguist,,,
Patricia Esteban ErlÃ©s,Linguist,,,
Mirjam Ernestus,,,Dutch psycholinguist and laboratory phonologist,Dutch psycholinguist and laboratory phonologist
Tamara Erofeyeva,Linguist,,,
Susan M. Ervin-Tripp,Linguist,,,
Rosario MarÃ­a GutiÃ©rrez Eskildsen,Linguist,,,
Pamela Faber,Linguist,,,
Teresa Fanego,,,Spanish specialist in historical English syntax,Spanish specialist in historical English syntax
Iryna Farion,Linguist,,,
Christiane Fellbaum,Linguist,,,
Stephanie Fielding,Linguist,,,
Linda Fierz-David,Linguist,,,
Eva Fiesel,Linguist,,,
Eli Fischer-JÃ¸rgensen,Linguist,,,
Colleen Fitzgerald,Linguist,,,
Ruth Vatvedt Fjeld,Linguist,,,
Margaret Florey,Linguist,,,
Janet Dean Fodor,Linguist,,,
Mary LeCron Foster,Linguist,,,
Lyn Frazier,Linguist,,,
Olga Freidenberg,Linguist,,,
Olga Frolova,Linguist,,,
Victoria Fromkin,Linguist,,,
Annemarie von Gabain,Linguist,,,
Anneli Ute Gabanyi,Linguist,,,
Susan Gal,Linguist,,,
Naira Gelashvili,Linguist,,,
Carol Genetti,Linguist,,,
Donna Gerdts,Linguist,,,
Judit Gervain,,,Neurolinguist and prosody specialist,Neurolinguist and prosody specialist
Henriette Gezundhajt,Linguist,,,
Jila Ghomeshi,Linguist,,,
Anna Italian Giacalone Ramat,,,historical linguist and acquisitionist,historical linguist and acquisitionist
Lila Gleitman,Linguist,,,
Eileen Glisan,Linguist,,,
Irina Glushkova,Linguist,,,
Adele Goldberg,Linguist,,,
Susan Goldin-Meadow,Linguist,,,
Felicitas Goodman,Linguist,,,
Myrna Gopnik,Linguist,,,
Lisa Green,Linguist,,,
Lenore Grenoble,Linguist,,,
Delia Grigore,Linguist,,,
Sarah Israelit Groll,Linguist,,,
Nina GrÃ¸nnum,Linguist,,,
Marianne Gullberg,,,Swedish psycholinguist and gesture specialist,Swedish psycholinguist and gesture specialist
Natalia Gvishiani,Linguist,,,
Mary Haas,Linguist,,,
Luise Haessler,Linguist,,,
Eva HajiÄovÃ¡,Linguist,,,
Auli Hakulinen,Linguist,,,
Kira Hall,Linguist,,,
