Name,Field(s),Dates,Notes
Rediet Abebe,,1991-,"computer scientist
First female computer scientist to be appointed to the Harvard Society of Fellows"
Lilia Ann Abron,,1945-,"chemical engineering, environmental engineering
First African-American woman to earn a PhD in chemical engineering"
Claudia Alexander,,1959-2015,"geophysics, planetary science
Project manager for NASA's Galileo mission and Rosetta mission"
Gloria Long Anderson,,1938-,"chemistry
Pioneer of nuclear magnetic resonance spectroscopy, known for work with fluorine-19 and solid rocket propellants"
Treena Livingston Arinzeh,,1970-,"biomedical engineering
Researcher of adult stem-cell therapy"
Estella Atekwana,,1961-,"Biogeophysics; tectonphysics
Dean of the College of Earth, Ocean and Environment at the University of Delaware"
Balanda Atis,,,"cosmetic science
Cosmetic chemist at L'Oréal USA who expanded range of cosmetics available for people of color"
Donna Auguste,,1958-,"businesswoman, computer scientist
Senior engineering manager for the Newton personal digital assistant (PDA)"
Wanda Austin,,1954-,"aerospace engineering
Former president and CEO of The Aerospace Corporation"
June Bacon-Bercey,,1932-,"meteorology
Believed to be the first African-American woman to gain a degree in meteorology and known to be the first African-American woman to be a televised meteorologist."
Erica Baker,,2006-,"software engineer
Engineer and engineering manager in the San Francisco Bay Area, known for her outspoken support of diversity and inclusion."
Alice Augusta Ball,,1892-1916,"chemistry
First woman and African-American to receive a master's degree from the University of Hawaii"
Patricia Bath,,1942-2019,"ophthalmologist, inventor
Pioneered laser surgery to remove cataracts"
Regina Benjamin,,1956-,"physician
18th Surgeon General of the United States"
Angela Benton,,1981-,"internet entrepreneur
Founder of NewME, Streamlytics, and Black Web 2.0"
Matilene Berryman,,1920-2003,"oceanographer, lawyer
Professor of marine science at the University of the District of Columbia and textbook author"
Sarah Boone,,1832-1904,"inventor
Second African-American woman to attain a U.S. patent"
Sylvia D. Trimble Bozeman,,1947-,"mathematician
Researcher of functional analysis and image processing, member of Obama's Presidential Committee on the National Medal of Science, founder of Enhancing Diversity in Graduate Education"
Khalia Braswell,,2014-,"computer scientist
an American computer scientist, educator, and technologist. INTech Camp for Girls"
Carolyn Brooks,,1947-,"microbiologist
Researcher in immunology, nutrition, and crop productivity"
Dorothy Lavinia Brown,,1919-2004,"surgeon
First African American female appointed to a general surgery residency in the racially segregated South."
Marjorie Lee Brown,,1914-1979,"mathematician
Third African-American woman to receive a PhD in mathematics"
Kimberly Bryant,,1967-,"electrical engineer
Founder of Black Girls Code"
Joy Buolamwini,,1989-,"computer scientist
Founder of Algorithmic Justice League; Rhodes Scholar, Fulbright fellow, Stamps Scholar, Astronaut Scholar and Anita Borg Institute scholar"
Ursula Burns,,1958-,"engineer, CEO
CEO of Xerox; first black woman to be a CEO of a Fortune 500 company and the first woman to succeed another as head of a Fortune 500 company"
Alexa Canady,,1950-,"neuroscience
First black woman to become a neurosurgeon"
Carolyn Cannon-Alfred,,1934-1987,"pharmacologist
Professor and co-author of Medical Handbook for the Layman"
Majora Carter,,1966-,"developer, activist
Founder of Sustainable South Bronx"
Gloria Chisum,,1930-,"experimental psychologist
Developed eye protection for pilots; first African-American woman to join the University of Pennsylvania Board of Trustees"
Mamie Phipps Clark,,1917-1983,"social psychologist
Researched self-esteem and self-concept in African-American children, which was used in 1954 civil rights case Brown v. Board of Education of Topeka Kansas"
May Edward Chinn,,1896-1980,"physician
First African-American woman to graduate from NYU School of Medicine, first African-American woman to intern at Harlem Hospital"
Yvonne Clark,,1929-2019,"engineer
first woman to get a Bachelor of Science degree in mechanical engineering at Howard University, the first woman to earn a master's degree in Engineering Management from Vanderbilt University, and the first woman to serve as a faculty member in the College of Engineering and Technology at Tennessee State University"
Jewel Plummer Cobb,,1924-2017,"biologist, profesor
Researched melanoma"
Johnnetta Cole,,1936-,"anthropologist, educator and museum director
Spelman College's seventh president and the first Black woman to lead the institution"
Rebecca Cole,,1846-1922,"physician
Second African-American woman physician"
Bessie Coleman,,1896-1926,"aviator
First African American and Native American woman to hold a pilot license"
Cynthia Oliver Coleman,,,"chemical engineer
First African American female chemical engineer."
Betty Collette,,1930-2017,"veterinary pathologist
Sole African-American pathology researcher at Georgetown University School of Medicine in the 1950s"
Margaret S. Collins,,1922-1996,"zoologist
First African American female entomologist and the third African American female zoologist"
Carol Blanche Cotton,,1904-1971,"psychologist
Researched cognitive ability in children diagnosed with spastic paralysis"
Patricia S. Cowings,,1948-,"aerospace psychophysiologist
First African American woman scientist to be trained as an astronaut by NASA"
Rebecca Lee Crumpler,,1831-1895,"physician
First African-American woman to become a physician in the United States"
Shaundra Daily,,2010-,"electrical engineering and computer science
American professor and author known for her work in the field of human-centered computing and broadening participation in STEM. She is a professor in the Department of Electrical and Computer Engineering and Computer Science at Duke University."
Marie Maynard Daly,,1921-2003,"biochemist
First African-American woman to earn a Ph.D. in chemistry"
Theda Daniels-Race,,,"nanoengineering, electronic engineering
Michael B. Voorhies Distinguished Professor in the Division of Electrical and Computer Engineering at Louisiana State University, 19th African American woman to obtain a PhD in a physics-related field in the US"
Christine Darden,,1942-,"aerospace engineer
Researcher at NASA who pioneered the design of supersonic aircraft"
Geraldine Claudette Darden,,1936-,"mathematician
14th African American woman to earn a Ph.D. in mathematics"
Mary Deconge,,1933-,"mathematician
15th African-American woman to earn her Ph.D. in mathematics"
Giovonnae Dennis,,,"electrical engineer
One of the first African-American women to earn a Ph.D. in electrical engineering, and one of the few at a primarily white institution rather than a historically black institution (HBCU); Founded Software Tailoring"
