Name,Field(s),Date,Notes
Aemilia,,300-363 CE,Gallo-Roman physician
Aglaonike,,200 BCE,woman astronomer in Ancient Greece
Agnodike,,400 BCE,first woman physician to practice legally in Athens
Andromache,,600,Egyptian physician
Arete of Cyrene,,500-400 BCE,Greek natural and moral philosopher
Artemisia of Caria,,300 BCE,botanist
Aspasia the Physician,,100 CE,Greek physician
Aurelia Alexandria Zosime,,,Ancient Roman physician
Chun Yuyan,,100 BCE,Chinese obstetrician and gynecologist
Cleopatra the Alchemist,,300 CE,"wrote the alchemical book, Chrysopoeia, or ""gold-making"""
Damo,,600 BCE,Greek natural philosopher
Diotima of Mantinea,,400 BCE,"philosopher and scientist, ancient Greece"
Eccello of Lucania,,500-400 BCE,Greek/Italian mathematician and natural philosopher
Echecratia the Philiasian,,500 BCE,Greek/Italian mathematician and natural philosopher
Elephantis,,100 BCE,Greek physician
Enheduanna,,2285-2250 BCE,Sumerian/Akkadian astronomer and poet
Fabiola,,399 CE,Roman physician
Fang,,100 BCE,Chinese chemist
Favilla,,200,Roman physician
Gargi Vachaknavi,,700 BCE,Indian philosopher
Gu Bao,,400,Chinese physician
Hypatia,,370-415 CE,"mathematician and astronomer, Egypt"
Laïs,,100-200 BCE,midwife
Lais of Corinth,,,Ancient Greek physician
Leoparda,,400 CE,gynecologist
Macrina,,400 CE,Greek physician and nun
Marcella,,400 CE,Roman healer
Mary the Jewess,,100-200 CE,alchemist
Melissa,,300 BCE,Greek philosopher
Metrodora,,200-400 CE,Greek physician and author
Minucia Asste,,,Ancient Roman physician
Myia,,500 BCE,Greek philosopher
Nicerata,,500,physician and healer
Occello of Lucania,,400-500 BCE,Greek natural philosopher and mathematician
Olympias of Thebes,,100 BCE,Greek midwife
Origenia,,200 CE,Greek healer
Pao Ku Ko,,300 CE,Chinese chemist
Paphnutia the Virgin,,300,Egyptian alchemist
Paula,,347-404 CE,Roman healer
Perictione,,500 BCE,"Greek philosopher, mother of Plato"
Panthea,,,"Ancient Greek physician, wife and colleague of Glycon"
Philinna of Thessaly,,,Ancient Greek physician
Peseshet,,2613-2494 BC,Egyptian physician
Pulcheria,,500 CE,healer
Pythias of Assos,,400 BCE,marine zoologist
Restituta,,100,Ancient Roman physician
Salpe,,100 BCE,Greek midwife
Sotira,,100 BCE,Greek physician
Tapputi-Belatekallim,,2000 BCE,"Babylonian perfumer, the first person in history recorded as using a chemical process"
Terentia Prima,,,Ancient Roman physician
Theano,,600 BCE,"philosopher, mathematician and physician"
Thelka,,,Iranian
Theosebeia,,400 CE,healer
Yi Jia,,200 BCE,Chinese physician
Herrad of Landsbert,,,
Abella,,1400,Italian physician
Adelle of the Saracens,,1200,Italian physician
Adelmota of Carrara,,1400,Italian physician
Rufaida Al-Aslamia,,700,Muslim nurse
Maesta Antonia,,1386-1408,Florentine physician
Ameline la Miresse,,1313-1325,French physician
Jeanne d'Ausshure,,1366,French surgeon
Brunetta de Siena,,1500,Italian-Jewish physician
Hildegard of Bingen,,1099-1179,German natural philosopher
Sibyl of Benevento,,,Napolitan physician specializing in the plague buboes
Gentile Budrioli,,-1498,Italian astrologer and herbalist
Constanza,,,"Italian surgeon, mentioned in Pope Sixtus IV edict regarding physicians and surgeons."
Denice,,1292,French barber-surgeon
Demud,,1300,German physician
Dobrodeia of Kiev,,1122,Byzantine physician
Dorotea Bucca,,1390,Italian professor of medicine
Constance Calenda,,1500,Italian surgeon specializing in diseases of the eye
Virdimura of Catania,,1376,Jewish-Sicilian physician
Caterina of Florence,,1400,Florentine physician
Jeanne de Cusey,,1438,French barber-surgeon
Antonia Daniello,,1400,Florentine-Jewish physician
