Name,Field(s),Date,Notes
Viviana Alder,,1957,Marine Microbiologist
Irene Bernasconi,,1896-1989,"Echinoderm Specialist-member of the first team of Argentine scientists to work on Antarctica in 1968,"
Patricia Ortúzar,,2001,"Geographer-writer,"
Carmen Pujals,,1916-2003,"Botanist-member of the first team of Argentine scientists to work on Antarctica in 1968,"
Irene Schloss,,1997,Plankton Biologist
Nerilie Abram,,1977,Climate Change Environmentalist
Leanne Armand,,1968,"Marine Scientist-diatom ecologist,"
Dana Bergstrom,,1962,"Ecologist-biosecurity specialist,writer"
Hope Black,,1919,"Marine Biologist-educator,early sub-Antarctic researcher"
Elizabeth Chipman,,1934,"Writer-one of the first Australian women to set foot on the Antarctic mainland in 1975,"
Louise Crossley,,1942-2015,"South-African Born Environmentalist-station leader,"
Amanda Davies,,,
Gwen Fenton,,1985,"Biologist-first woman to be chief scientist of the Australian Antarctic Division,"
Samantha Hall,,1982,Environmental Researcher
Catherine King,,1992,Environmentalist Specializing in Ecotoxicology Research
Delphine Lannuzel,,2001,"Belgian-born Biogeochemist-educator,"
Nel Law,,1914-1990,"Artist-writer,first Australian woman to set foot in Antarctica in 1961"
Diana Patterson,,1950,First Woman to Head an Australian Antarctic Station
Sally Poncet,,1954,"Biologist-ornithologist,explorer"
Anya Marie Reading,,1997,Seismology and Computational Methods
Patricia Margaret Selkirk,,1942,"Plant Biologist-ecologist,"
Justine Shaw,,1996,"Ecologist-conservation scientist,"
Jan Strugnell,,1976,Evolutionary Molecular Biologist
Elizabeth Truswell,,1941,"Palynologist-visual artist,"
Miriam-Rose Ungunmerr-Baumann,,1950,One of the First Two Indigenous Australians to Visit Antarctica
Barbara Wienecke,,1993,Namibian-born Seabird Ecologist
Nerida Wilson,,1998,Invertebrate Marine Biologist
Annick Wilmotte,,1982,Microbiologist
Edith Fanta,,1943-2008,"Biologist-Antarctic fish researcher,"
Vivian Pellizari,,1992,Microbiologist
Dk Najibah Era Al-Sufri,,1983,First Bruneian to Reach the South Pole
Roumiana Metcheva,,1950,Ecotoxicologist
Josée Auclair,,1962,"Polar Explorer-first Canadian woman to have headed expeditions to the North and South Poles,"
Kathleen Conlan,,1950,"Marine Biologist-explorer,"
Jennie Darlington,,1919-2009,"Explorer-one of the first women to overwinter in Antarctica in 1947-48,"
Veronica Vallejos,,1960,"Marine Biologist-conservationist,"
Yan Liu,,2003,"Iceberg Calving Specialist-environmentalist,"
Lijie Wei,,1974,"Paleontologist-stratigraphist,"
Linda Nedbalova,,1976,"Biologist-writer,"
Dorthe Dahl-Jensen,,1958,"Geophysicist-ice and climate researcher,"
Caroline Mikkelsen,,1906-1990,"Explorer-first woman to set foot on Antarctica or an Antarctic island in 1935,"
Laurence de la Ferrière,,1957,"Moroccan-born Climber and Explorer-first French woman to reach the South Pole alone in 1997,"
Catherine Ritz,,1975,"Geographer-climatologist,"
Doris Abele,,1984,Marine Biologist
Nancy Bertler,,1996,"Geologist-ice core researcher,"
Anja Blacha,,1990,"Longest Solo-unsupported,unassisted polar expedition by a woman"
Angelika Brandt,,1961,Deep-sea Biologist
Katrin Linse,,2000,Marine Benthic Biologist
Karin Lochte,,1952,"Oceanographer-climate change specialist,"
Cornelia Lüdecke,,1954,"Meteorologist-writer,"
Bettina Meyer,,1996,Marine Biologist
Monika Puskeppeleit,,1955,"Physician-station leader of the first all-woman team to overwinter in Antarctica,"
Reena Kaushal Dharmshaktu,,,
Aditi Pant,,,
Sudipta Sengupta,,,
Meenakshi Wadhwa,,,
Cinzia Verde,,1987,"Biologist-writer,"
Junko Tabei,,1939,"Mountaineer-the first woman to climb to the top of Mount Vinson,Antarctica's highest mountain"
Siti Aisyah Alias,,1966,Marine Biologist
Merieme Chadid,,1969,Astronomer
Corina Brussaard,,1997,Viral Ecologist
Anita Buma,,1984,Marine Ecophysiologist
Monique de Vries,,1947,"Politician-polar research supporter,"
Rosemary Askin,,,
Nancy Bertler,,,
Margaret Bradshaw,,,
Ann Chapman,,1937-2009,First Woman to Lead an Antarctic Expedition
Marie Darby,,,
Edith Farkas,,1921-1993,Ozone Researcher
Roberta Farrell,,,
Christina Hulbe,,,
Pat Langhorne,,,
Victoria Metcalf,,,
Christina Riesselman,,,
Natalie Robinson,,,
Gillian Wratt,,,
Pamela Young,,,first New Zealand woman to live and work in Antarctica
Liv Arnesen,,1953,"Cross-country Skier-first woman to ski alone to the South Pole in 1994,"
Ingrid Christensen,,1891-1976,"Early Polar Explorer-first woman to land on the Antarctic mainland or at least view land in Antarctica (1931,"
Lillemor Rachlew,,1902-1983,One of the First Women to Set Foot on the Antarctic Mainland in 1937
Cecilie Skog,,1974,"Nurse-explorer,adventurer"
Monica Kristensen Solås,,1950,"Glaciologist-meteorologist,explorer"
Namira Salim,,1975,"Explorer-artist,"
Maria Olech,,1941,"Biologist-lichenologist,"
Florica Topârceanu,,1954,"Biologist-medical researcher,"
Maria Klenova,,1898-1976,"Marine Geologist-first women to undertake scientific work in Antarctica in 1956,contributing to the first Soviet Antarctic atlas"
Bettine van Vuuren,,1992,Zoologist
In-Young Ahn,,1982,"Benthic Ecologist-oceanographer,"
Ji Hee Kim,,1991,"Biologist-environmentalist,writer"
Hong Kum Lee,,1989,Marine Biotechnologist
Susana Agustí,,1982,Biological Oceanographer
Josefina Castellví,,1935,"Oceanographer-biologist,writer"
Carlota Escutia Dotti,,1982,Geologist
Elisabeth Isaksson,,1986,"Glaciologist-geologist,"
Anna Wåhlin,,1970,Physical Oceanographer
Tina Sjögren,,1959,"Czech-born Mountaineer-explorer,first woman to complete the Three Poles Challenge in 2002"
Annelie Pompe,,1981,"Adventurer-has climbed all seven summits,including Mount Vinson."
Johanna Davidsson,,1983,"Adventurer-has skied alone from the coast to the South Pole.,"
Marilyn Raphael,,1990,"Climatologist-educator,writer"
Burcu Özsoy,,1976,Scientist
Şahika Ercümen,,1985,Freediver
Halyna Kolotnytska,,1972,Cook of The Second Ukrainian Antarctic Expedition 1997/98
Louise Allcock,,1992,"Marine Biologist-editor,"
Felicity Aston,,1977,"Explorer-climate scientist,"
Kim Crosbie,,1969,"Environmentalist-citizen scientist,writer"
Ginny Fiennes,,1947-2004,"Explorer-her Transglobe Expedition team was the first to reach the two poles,"
Jane Francis,,1956,"Palaeoclimatologist-director of the British Antarctic Survey,"
Helen Fricker,,1991,"Glaciologist-writer,"
Karen Heywood,,1983,"Oceanographer-educator,"
Eleanor Honnywill,,1919-2003,"Contributor to the British Antarctic Survey-writer,"
Joanne Johnson,,1977,"Geologist-writer,"
Hannah McKeand,,1973,
Tavi Murray,,1990,Glaciologist
Elizabeth Morris,,1946,Glaciologist
Pom Oliver,,1952,"Explorer-film producer,"
Sharon Robinson,,1961,"Plant Physiologist-climate change biologist,"
Jane Rumble,,,
Rosie Stancer,,1960,"Explorer-adventurer,"
Janet Thomson,,1942,"Geologist-first British woman to undertake field research in Antarctica,"
Fiona Thornewill,,1966,Explorer
Jemma Wadham,,1998,Glacial Biogeochemist
Ann Bancroft,,1955,"Writer-educator,adventurer"
Jenny Baeseman,,1998,"Civil Engineer-environmentalist,geoscientist"
Robin Bell,,1980,Polar Ice Specialist
