Name,Field(s),Dates,Notes,,,,,
Mary Watson,,1856-1933,one of the first two female chemistry students at the University of Oxford,,,,,
Margaret Seward,,1864-1929,one of the first two female chemistry students at the University of Oxford; signed the 1904 petition to the Chemical Society,,,,,
Vera Bogdanovskaia,,1868-1897,one of the first female Russian chemists,,,,,
Gerty Cori,,1896-1957,Jewish Czech-American biochemist who was the first American to win a Nobel Prize in science,,,,,
Margot Dorenfeldt,,1895-1986,First woman to graduate from Norwegian Institute of Technology,,,,,
Ida Freund,,1863-1914,first woman to be a university chemistry lecturer in the United Kingdom,,,,,
Ellen Gleditsch,,1879-1968,Norwegian radiochemist; Norway's second female professor,,,,,
Louise Hammarström,,1849-1917,"Swedish mineral chemist, first formally educated female Swedish chemist",,,,,
Edith Humphrey,,1875-1978,"Inorganic chemist, probably the first British woman to gain a doctorate in chemistry",,,,,
Julia Lermontova,,1846-1919,"Russian chemist, first Russian female doctorate in chemistry",,,,,
Laura Linton,,1853-1915,"American chemist, teacher, and physician",,,,,
Rachel Lloyd,,1839-1900,"First American female to earn a doctorate in chemistry, first regularly admitted female member of the American Chemical Society, studied sugar beets",,,,,
Muriel Wheldale Onslow,,1880-1932,British biochemist,,,,,
Marie Pasteur,,1826-1910,French chemist and bacteriologist,,,,,
Mary Engle Pennington,,1872-1952,American chemist,,,,,
Agnes Pockels,,1862-1935,German chemist,,,,,
Vera Popova,,1867-1896,Russian chemist,,,,,
Anna Sundström,,1785-1871,Swedish chemist,,,,,
Clara Immerwahr,,1870-1915,First woman to get her doctorate in chemistry in Germany,,,,,
Ellen Swallow Richards,,1842-1911,American industrial and environmental chemist,,,,,
Anna Volkova,,1800-1876,Russian chemist,,,,,
Nadezhda Olimpievna Ziber-Shumova,,1914,Russian chemist,,,,,
Fanny Rysan Mulford Hitchcock,,1851-1936,"one of thirteen (American) women to graduate with a degree in chemistry in the 1800s, and the first to graduate with a doctorate in philosophy of chemistry. Her areas of focus were in entomology, fish osteology, and plant pathology.",,,,,
Elly Agallidis,,1914-2006,Greek physical chemist,,,,,
Nancy Allbritton,,,American analytical and biochemist,,,,,
Valerie Ashby,,,American chemist,,,,,
Barbara Askins,,1939,American chemist,,,,,
Alice Ball,,1892-1916,American chemist,,,,,
Carolyn Bertozzi,,1966,American biochemist,,,,,
Cynthia Burrows,,,American physical organic chemist,,,,,
Asima Chatterjee,,1917-2006,Indian organic chemist,,,,,
Astrid Cleve,,1875-1968,Swedish chemist,,,,,
Mildred Cohn,,1913-2009,American chemist,,,,,
Janine Cossy,,1950,French organic chemist,,,,,
Maria Skłodowska-Curie,,1867-1934,"Polish-French physicist and chemist (discoverer of polonium and radium, pioneer in radiology); Nobel laureate in physics 1903, and in chemistry 1911",,,,,
Jillian Lee Dempsey,,1983,American chemist,,,,,
Vy M. Dong,,,American organic chemist,,,,,
Abigail Doyle,,1980,American organic chemist,,,,,
Odile Eisenstein,,1949,"French, theoretical chemist",,,,,
Gertrude B. Elion,,1918-1999,American biochemist (Nobel prize in Physiology or Medicine 1988 for drug development),,,,,
Margaret Faul,,,Irish/American organic chemist,,,,,
Mary Peters Fieser,,1909-1997,American organic chemist,,,,,
Marye Anne Fox,,1947-2021,American physical organic chemist,,,,,
Rosalind Franklin,,1920-1957,British physical chemist and crystallographer,,,,,
Helen Murray Free,,1923-2021,American chemist,,,,,
Gunda I. Georg,,,"German-trained medicinal chemist,professor of medicinal chemistry in the US,",,,,,
Ellen Gleditsch,,1879-1968,Norwegian radiochemist,,,,,
Paula T. Hammond[7],,1963-,"American chemical engineer, MIT professor",,,,,
Anna J. Harrison,,1912-1998,American organic chemist,,,,,
Remziye Hisar,,1902-1992,"Turkish chemist, first woman chemist of Turkey",,,,,
Darleane C. Hoffman,,1926,American Nuclear chemist,,,,,
Icie Hoobler,,1892-1984,American biochemist,,,,,
Dorothy Crowfoot Hodgkin,,1910-1994,"British crystallographer, Nobel prize in chemistry 1964",,,,,
Donna M. Huryn,,,American organic chemist,,,,,
Clara Immerwahr,,1870-1915,German chemist,,,,,
Allene Rosalind Jeanes,,1906-1995,American organic chemist,,,,,
Malika Jeffries-EL,,,American organic chemist,,,,,
Irène Joliot-Curie,,1897-1956,"French chemist and nuclear physicist, Nobel Prize in Chemistry 1935",,,,,
Madeleine M. Joullié,,1927,"Brazilian, American organic chemist",,,,,
Isabella Karle,,1921-2017,American crystallographer,,,,,
Joyce Jacobson Kaufman,,1929-2016,"American chemist, Pharmacologist",,,,,
Judith Klinman,,1941,American biochemist,,,,,
Teresa Kowalska,,1946-2023,"Polish chemist, co-founder of Acta Chromatographia",,,,,
Marisa Kozlowski,,,American organic chemist,,,,,
Stephanie Kwolek,,1923-2014,"American chemist, inventor of Kevlar",,,,,
Kathleen Lonsdale,,1903-1971,British crystallographer,,,,,
Yvonne Connolly Martin,,1936,American physical biochemist working on cheminformatics and computer-aided drug design in the US,,,,,
Marie Marynard Daly,,1921-2001,First African American woman to earn her PhD in the United States,,,,,
