Name,Field(s),Date,Notes,,,,
Zuhal Atmar,,,pioneering environmentalist who ran a recycling plant,,,,
Faiza Darkhani,,1992,climate change scholar,,,,
Argentina,,,,,,,
Inés Camilloni,,1964,,,,,
Australia,,,,,,,
Nerilie Abram,,1977,,,,,
Tracy Ainsworth,,,marine biologist working on coral reefs,,,,
Lisa Alexander,,,international expert on heatwaves,,,,
Julie Arblaster,,,climate change researcher,,,,
Sue Barrell,,,meteorologist active in climate monitoring and ocean-earth observations,,,,
Kirsten Benkendorff,,1973,,,,,
Wendy Bowman,,1934,,,,,
Wendy Craik,,1949,,,,,
Adriana Dutkiewicz,,,sedimentologist at the University of Sydney,,,,
Ann Henderson-Sellers,,,,,,,
Taryn Lane,,,renewable energy expert,,,,
Judith Lean,,,Australian-American solar and climate scientist,,,,
India Logan-Riley,,,Māori climate activist,,,,
Janice Lough,,,climate scientist researching coral reefs,,,,
Amanda Lynch,,,Professor at Brown University researching atmospheric and climate change science,,,,
Cara Augustenborg,,,,,,,
Ann Henderson-Sellers,,1952,,,,,
Jane McAdam,,1974,,,,,
Helen McGregor,,,geologist and climate change researcher,,,,
Amanda McKenzie,,,commentator on climate change,,,,
Jessica Melbourne-Thomas,,,marine ecologist and ecosystem modeller,,,,
Sam Mostyn,,1964,,,,,
Sarah Perkins-Kirkpatrick,,1983,,,,,
Anjali Sharma,,2004,,,,,
Kate Trinajstic,,,paleontologist and evolutionary biologist,,,,
Jo Vallentine,,1946,,,,,
Carden Wallace,,,marine biologist and museum director,,,,
Shemara Wikramanayake,,1962,,,,,
Penny Whetton,,,,,,,
Katherine Woodthorpe,,,executive involved in bushfire and natural hazards,,,,
Belgium,,,,,,,
Margaretha Guidone,,1956,,,,,
Bolivia,,,,,,,
Ximena Vélez Liendo,,1976,,,,,
Brazil,,,,,,,
Rosaly Lopes,,1957,,,,,
Antônia Melo,,1949,,,,,
Cameroon,,,,,,,
Sevidzem Ernestine Leikeki,,1985,,,,,
Canada,,,,,,,
Eriel Deranger,,1979,,,,,
Marie-Josée Fortin,,1958,,,,,
Natalya Gomez,,,climate-ice sheet-solid earth modeler,,,,
Katharine Hayhoe,,1972,global climate models,,,,
Nasrin Husseini,,,Afghan-born refugee,,,,
Naomi Klein,,1970,filmmaker and environmental activist,,,,
Melina Laboucan-Massimo,,,climate justice and Indigenous rights activist,,,,
Corinne Le Quéré,,1966,University of East Anglia,,,,
Deborah Martin-Downs,,,aquatic biologist,,,,
Line Rochefort,,,ecologist specializing in peatland restoration,,,,
Marie Sanderson,,,,,,,
Chad,,,,,,,
Hindou Oumarou Ibrahim,,,environmental activist and geographer,,,,
Chile,,,,,,,
Adriana Hoffmann,,,,,,,
Sara Larraín,,1962,,,,,
Veronica Vallejos,,,,,,,
China,,,,,,,
Chai Jing,,1976,,,,,
Howey Ou,,2003,,,,,
Colombia,,,,,,,
Xiomara Acevedo,,,climate change activist coordinating government policy,,,,
Paola Arias,,,climate change researcher,,,,
Martha Peralta Epieyú,,,politician and lawyer specializing in environmental law,,,,
Aída Quilcué,,1990,,,,,
Diana Marcela Bolaños Rodriguez,,1981,,,,,
Costa Rica,,,,,,,
Christiana Figueres,,1956,,,,,
Denmark,,,,,,,
Inger Andersen,,,Danish environmentalist,,,,
Inger Andersen,,1958,,,,,
Lone Drøscher Nielsen,,1984,,,,,
Inge Lehmann,,,,,,,
Signe Normand,,,biologist researching vegetation in the arctic tundra,,,,
Dominican Republic,,,,,,,
Idelisa Bonnelly,,,,,,,
Ecuador,,,,,,,
Anita Rivas,,1972,,,,,
Fiji,,,,,,,
Kavita Naidu,,,lawyer working on international climate change law,,,,
Finland,,,,,,,
Hanna Kokko,,1971,,,,,
France,,,,,,,
Hélène Bergès,,1966,,,,,
Pascale Braconnot,,,climate scientist,,,,
Valérie Cabanes,,1969,,,,,
Anny Cazenave,,1944,,,,,
Françoise Gasse,,,,,,,
Amaelle Landais-Israël,,1977,,,,,
Marguerite Augusta Marie Löwenhielm,,,mycologist studying the effectiveness of American grapevine against harmful insect pest,,,,
Valerie Masson-Delmotte,,,focus on paleoclimatology at the Climate and Environment Sciences Laboratory,,,,
Anaïs Orsi,,,climate scientist studying global warming through changes in polar ice,,,,
Magali Reghezza-Zitt,,,geographer and co-director of the Centre de formation sur l'environnement et la société at the École normale supérieure. Her work focuses on the notions of risk and crisis,,,,
Catherine Ritz,,,Antarctic researcher working on ice sheets and rise in sea level,,,,
Françoise Vimeux,,,climatologist,,,,
Germany,,,,,,,
Silvia Bender,,1970,,,,,
Nancy Bertler,,,Antarctic researcher investigating climate history,,,,
Lina Eichler,,2002,,,,,
Sabine Fuss,,,climate scientist focusing on sustainable resource management,,,,
Ulrike Lohmann,,1966,,,,,
Katrin Meissner,,,German and Australian physical oceanographer and climate scientist,,,,
Friederike Otto,,1982,associate director of the Environmental Change Institute,,,,
Ricarda Winkelmann,,1985,land ice and the ocean,,,,
Kirsten Zickfeld,,,climate physicist now based in Canada,,,,
Ghana,,,,,,,
Nana Klutse,,1981,,,,,
Guatemala,,,,,,,
Nicole Hernandez Hammer,,,Guatemalan-American climate scientist studying sea level rise,,,,
Guinea-Bissau,,,,,,,
Augusta Henriques,,1991,,,,,
Honduras,,,,,,,
Berta Cáceres,,,,,,,
Iceland,,,,,,,
Sigríður Tómasdóttir,,,,,,,
India,,,,,,,
Indian climate change activist Sunita Narain,,,,,,,
Sulochana Gadgil,,1944,,,,,
Paramjit Khurana,,1956,,,,,
Sunita Narain,,1961,clean energy advocate and political activist,,,,
Medha Patkar,,1964,rights activist and environmentalist,,,,
Indonesia,,,,,,,
Yuyun Ismawati,,1964,,,,,
Mia Krisna Pratiwi,,1996,,,,,
Swietenia Puspa Lestari,,1994,,,,,
Ireland,,,,,,,
Tara Shine,,,Irish environmental scientist,,,,
Anna Kernahan,,,climate activist,,,,
Cara Augustenborg,,1978,also has US citizenship,,,,
Karin Dubsky,,1954,,,,,
Tara Shine,,,environmental scientist,,,,
Italy,,,,,,,
Simona Bordoni,,1972,,,,,
Nicola Scafetta,,1975,,,,,
Kenya,,,,,,,
Kenyan activist Wangari Maathai,,,,,,,
Wangari Maathai,,,Nobel Peace Prize winner,,,,
Laos,,,,,,,
Niane Sivongxay,,,zoologist specializing in zooplankton and amphibians,,,,
Madagascar,,,,,,,
Marie Christina Kolo,,1989,,,,,
Julie Hanta Razafimanahaka,,,conservation biologist,,,,
Marshall Islands,,,,,,,
Kathy Jetn̄il-Kijiner,,,poet and climate change activist,,,,
Selina Leem,,,climate change activist and spoken word performer,,,,
Mexico,,,,,,,
María Elena Caso,,,,,,,
Enriqueta Legorreta,,,,,,,
Enriqueta Medellín,,,the Premio al Mérito Ecológico in 2012,,,,
Netherlands,,,,,,,
Elisabeth Gottschalk,,,,,,,
Saskia Ozinga,,1960,,,,,
New Zealand,,,,,,,
Gillian Wratt,,,New Zealand Arctic researcher,,,,
Rosemary Askin,,1949,Antarctic researcher,,,,
Helen Plume,,,ministerial climate change expert,,,,
Gillian Wratt,,1954,,,,,
Niger,,,,,,,
Mariama Mamane,,,environmentalist focusing on the ecology of rivers,,,,
Nigeria,,,,,,,
Francisca Oboh Ikuenobe,,,geologist specializing in palynology and sedimentology,,,,
Eucharia Oluchi Nwaichi,,,environmental biochemist,,,,
Margaret Adebisi Sowunmi,,,botanist and environmental archaeologist,,,,
Norway,,,,,,,
Ane Hansdatter Kismul,,1980,,,,,
Ingrid Skjoldvær,,1993,,,,,
Gunhild Stordalen,,1979,founder of a climate change foundation,,,,
Ragnhild Sundby,,,,,,,
Papua New Guinea,,,,,,,
Mazzella Maniwavie,,1987,,,,,
Peru,,,,,,,
Chicaje of Peru,,,,,,,
Liz Chicaje,,1962,,,,,
Philippines,,,,,,,
Joan Carling,,1963,,,,,
Gemma Narisma,,,,,,,
Poland,,,,,,,
Zofia Kielan-Jaworowska,,,expeditions to the Gobi Desert,,,,
Teresa Maryańska,,,,,,,
Elwira Żmudzka,,,climatologist,,,,
Russia,,,,,,,
Maria Klenova,,,,,,,
Olga Zolina,,1975,modeling of extreme precipitation,,,,
Rwanda,,,,,,,
Rose Mukankomeje,,,politician and environmental activist addressing forest conservation,,,,
South Africa,,,,,,,
Frances Gamble,,,,,,,
South Korea,,,,,,,
June-Yi Lee,,,atmospheric scientist investigating future climate scenarios,,,,
Spain,,,,,,,
Paca Blanco,,1949,,,,,
Aida Fernández Ríos,,,,,,,
Sri Lanka,,,,,,,
Michelle Dilhara,,1996,,,,,
Sevvandi Jayakody,,,consersationist and echinodermologist,,,,
Sudan,,,,,,,
Balgis Osman-Elasha,,,climate scientist studying climate change in Africa,,,,
Sweden,,,,,,,
Swedish activist Greta Thunberg,,2020,,,,,
Isabelle Axelsson,,2001,,,,,
Inger Holmlund,,,,,,,
Greta Thunberg,,2003,,,,,
Switzerland,,,,,,,
Martine Rebetez,,1961,,,,,
Sonja Wipf,,1973,,,,,
Anita Studer,,1944,,,,,
Thailand,,,,,,,
Kotchakorn Voraakhom,,1981,,,,,
Trinidad and Tobago,,,,,,,
Rahanna Alicia Juman,,2000,,,,,
United Kingdom,,,,,,,
Emily Shuckburgh,,,British climate science communicator,,,,
Helen ApSimon,,1942,,,,,
Sarah Martha Baker,,,,,,,
Brenda Boardman,,1943,,,,,
Judith Bunbury,,1967,,,,,
Tamsin Edwards,,,climate scientist,,,,
Hayley Fowler,,,research focused on climate change and variability on hydrological and water resource systems,,,,
Katharine Giles,,,ocean circulation and wind patterns,,,,
Jean Grove,,,,,,,
Joanna Haigh,,,Co-Director of Grantham Institute at Imperial College London,,,,
Gabriele C. Hegerl,,1962,,,,,
Helene Hewitt,,,Met Office researcher on ocean modeling,,,,
Ellie Highwood,,,Professor of Climate Physics at the University of Reading,,,,
Joanne Johnson,,1977,Antarctic scientist,,,,
Caroline King-Okumu,,,researcher focusing on dryland ecosystems,,,,
Rachel Kyte,,,international strategist on sustainable energy,,,,
Sonya Legg,,,oceanographer studying ocean circulation processes,,,,
Diana Liverman,,1954,vulnerability and policy,,,,
Georgina Mace,,,,,,,
Barbara Maher,,1960,,,,,
Stephanie Peay,,1959,,,,,
Vicky Pope,,,Head of the Climate Prediction Programme at the Hadley Centre for Climate Prediction and Research,,,,
Paula Reimer,,,radiocarbon and archaeological scientist at the 14Chrono Centre for Climate,,,,
Emily Shuckburgh,,,climate scientist,,,,
Liz Thomas,,,paleoclimatologist,,,,
United States,,,,,,,
Rachel Carson,,,American marine biologist and conservationist,,,,
Lydia Adams-Williams,,,,,,,
Alice Alldredge,,1949,,snow,and,demersal,zooplankton
Tanya Atwater,,1942,,,,,
Thelma Babbitt,,,,,,,
Sallie Baliunas,,1953,,,,,
Lisa Beal,,,British-born oceanographer investigating the Agulhas current,,,,
Barbara Bell,,,,,,,
Abigail Borah,,,environmental activist,,,,
Florence Elfelt Bramhall,,,,,,,
Emma Lucy Braun,,,ecologist and academic,,,,
Margaret Bryan Davis,,1931,,,,,
Molly Burhans,,1989,,,,,
Elizabeth Canuel,,,chemical oceanographer investigating organic carbon cycling,,,,
Rachel Carson,,,,,,,
Jeannine Cavender-Bares,,2000,,,,,
Danielle Claar,,,marine scientist studying effect of climate on coral symbionts and parasites,,,,
Amy C. Clement,,,atmospheric and marine scientist modelling climate change,,,,
