Name,Field(s),Dat,Notes
Cecilia Bouzat,"Neuroscientist, Biologist, Chemist",1961,biochemist studying neurological disorders
Maria G. Castro,,2000,"Professor of Neurosurgery, University of Michigan Medical School"
Lyn Beazley,,1944,British-born Australian neuroscientist and educator
Leeanne Carey,,1959,neuroscientist in occupational therapy and stroke rehabilitation and recovery research
Adrienne Fairhall,,2000,computational neuroscientist and educator
Una Lucy Fielding,,1888-1969,neuroanatomist remembered for discovering the vascular link between the hypothalamus and the pituitary gland
Mary Galea,,1951,physiotherapist and neuroscientist at the University of Melbourne
Glenda Halliday,,2008,"neuroscientist at the University of Sydney, NHMRC research fellow"
Muireann Irish,,2013,cognitive neuropsychologist at the University of Sydney
Jee Hyun Kim,,2004,behavioral neuroscientist focusing on emotional learning and memory during childhood
Natalie Matosin,,2012,scientist researching the impacts of stress and its role in mental illness
Elspeth McLachlan,,1942,world authority on neural pathways within the autonomic nervous system
Pat Michie,"Neuroscientist, psychologist ",2009,emeritus professor of psychology at Australia's University of Newcastle
Kathryn North,,1994,"paediatric physician, neurologist, and clinical geneticist working on cognitive deficits in neurofibromatosis type 1 and intervention strategies for children with learning disabilities and inherited myopathies"
Jennie Ponsford,,2000,"neuroscientist researching the negative consequences of traumatic brain injury related to fatigue, sleep disturbance, attentional problems, mood and behavioural disturbances"
Sandra Rees,,1942,research into the pathogenesis of brain injury
Linda Richards,,,currently researching development of the cortical midline
Nicole Rinehart,,2000,"focus on autism, Asperger's disorder and ADHD"
Lesley Joy Rogers,,1943,emeritus professor of neuroscience at Australia's University of New England
Renae Ryan,,2000,"neuroscientists and pharmacologist promoting gender equity, diversity and inclusion"
Ingrid Scheffer,,1958,paediatric neurologist and senior research fellow focusing on epilepsy
Alexandra Adler,,1901-2001,neurologist remembered for her work on the brain of a multiple sclerosis victim and for her research on posttraumatic stress disorder
Elisabeth Binder,,2000,neuroscientist specializing in the study of mood and anxiety disorders
Melly Oitzl,,1955,"behavioral neuroscientist focusing on relationships between stress, cognition and emotion"
Suzana Herculano-Houzel,,1972,focus on neuroanatomy
Anna Christina Nobre,,1963,UK-based Brazilian neuroscientist researching neural systems supporting cognitive functions in the human brain
Rosemary Bagot,,1981,researching the mechanisms of altered brain function in depression
Frances Champagne,,2007,"focus on molecular neuroscience, maternal behavior, and epigenetics"
Sherry Chou,,2014,neuroscientist focusing on neurocritical care
Anne Churchland,,2014,neuroscientist focusing on the function of the posterior parietal cortex in cognitive processes
Meaghan Creed,,2016,research into neuromodulation
Karen Davis,,1990,"focusing on the mechanisms underlying acute and chronic pain and temperature perception, the influence of attention, and plasticity"
Allison J. Doupe,"Neuroscientist, psychiatrist, biologist",1954-2014,"psychiatrist, biologist, and neuroscientist focusing on avian neurobiology and communication"
Lillian Dyck,,1945,"Saskatchewan senator, formerly a neuroscientist and dean at the University of Saskatchewan"
Gillian Einstein,,1952,American-born Canadian neuroscientist focusing on the anatomy of the female brain
